,Member_number,Date,itemDescription,quantidade,price
1403,2779,01-12-2015,leite inteiro,2,88.74
1404,4154,02-07-2015,vegetais de raiz,8,135.58
1405,4246,01-12-2015,salsicha,1,70.71
1406,3824,12-02-2015,vegetais de raiz,5,15.54
1407,2682,28-06-2015,salsicha,8,105.35
1408,4531,16-10-2015,água engarrafada,4,99.90
1409,1379,07-07-2015,outros vegetais,0,47.36
1410,4826,17-01-2015,pãezinhos / pãezinhos,0,194.59
1411,1094,08-09-2015,salsicha,1,128.70
1412,4497,07-06-2015,leite inteiro,0,203.69
1413,3562,18-03-2015,fruta tropical,2,29.71
1414,3145,16-11-2015,outros vegetais,7,88.74
1415,3386,03-02-2015,citrino,4,262.05
1416,4125,21-03-2015,citrino,6,18.81
1417,2570,19-03-2015,outros vegetais,1,206.16
1418,3315,19-11-2015,fruta tropical,9,146.48
1419,1256,02-08-2015,salsicha,2,120.92
1420,2523,04-07-2015,leite inteiro,7,20.73
1421,1432,04-08-2015,outros vegetais,7,180.99
1422,4862,15-05-2015,vegetais de raiz,9,21.28
1423,3225,25-02-2015,salsicha,3,17.52
1424,4787,12-08-2015,salsicha,4,55.79
1425,4159,28-12-2015,água engarrafada,1,196.56
1426,4303,25-09-2015,refrigerante,2,39.57
1427,4595,07-08-2015,iogurte,4,234.83
1428,2073,14-05-2015,fruta tropical,5,112.10
1429,3297,08-02-2015,salsicha,1,148.55
1430,2818,22-11-2015,leite inteiro,5,141.68
1431,3982,25-07-2015,salsicha,3,134.91
1432,4924,26-08-2015,leite inteiro,7,11.55
1433,3851,10-05-2015,leite inteiro,6,51.25
1434,3204,08-05-2015,pãezinhos / pãezinhos,4,42.17
1435,3445,01-10-2015,salsicha,6,2.57
1436,2855,09-09-2015,outros vegetais,3,200.32
1437,2766,19-08-2015,citrino,3,167.63
1438,3953,13-05-2015,salsicha,0,117.94
1439,3450,27-04-2015,outros vegetais,4,40.48
1440,1330,02-11-2015,refrigerante,4,15.83
1441,4456,17-04-2015,refrigerante,4,110.15
1442,4606,30-03-2015,pastelaria,7,1.30
1443,2244,28-01-2015,refrigerante,5,22.32
1444,4296,26-08-2015,leite inteiro,0,252.87
1445,3296,02-03-2015,leite inteiro,9,5.45
1446,3480,07-05-2015,vegetais de raiz,4,23.61
1447,3842,14-10-2015,outros vegetais,6,48.26
1448,2663,28-05-2015,leite inteiro,0,125.07
1449,4277,06-12-2015,água engarrafada,7,142.07
1450,2193,07-01-2015,pastelaria,8,179.69
1451,3589,05-10-2015,salsicha,5,177.62
1452,4048,08-05-2015,outros vegetais,9,210.44
1453,4637,14-05-2015,leite inteiro,6,117.29
1454,1363,14-10-2015,leite inteiro,5,36.59
1455,3749,09-03-2015,fruta tropical,2,103.14
1456,2646,11-11-2015,pãezinhos / pãezinhos,9,147.88
1457,3450,08-03-2015,água engarrafada,1,127.12
1458,2078,16-10-2015,fruta tropical,9,132.60
1459,1997,26-10-2015,citrino,8,151.15
1460,4505,17-04-2015,fruta tropical,6,238.70
1461,4336,27-04-2015,leite inteiro,7,79.79
1462,2800,17-03-2015,citrino,8,120.92
1463,3537,12-07-2015,salsicha,6,222.12
1464,1331,29-04-2015,salsicha,9,257.54
1465,1976,14-10-2015,outros vegetais,1,169.18
1466,3353,13-04-2015,salsicha,1,53.19
1467,2190,14-05-2015,fruta tropical,3,227.31
1468,3221,29-06-2015,pastelaria,4,62.92
1469,3770,13-01-2015,salsicha,3,237.43
1470,4687,13-01-2015,água engarrafada,6,211.48
1471,1031,15-10-2015,outros vegetais,8,65.13
1472,4245,04-06-2015,água engarrafada,6,92.12
1473,1784,26-09-2015,água engarrafada,2,146.48
1474,4001,21-06-2015,fruta tropical,2,54.47
1475,1939,15-07-2015,fruta tropical,1,3.89
1476,3790,26-07-2015,salsicha,5,62.80
1477,4296,28-07-2015,fruta tropical,7,49.82
1478,2434,18-09-2015,refrigerante,2,169.31
1479,4895,07-09-2015,salsicha,2,44.76
1480,3168,02-05-2015,refrigerante,9,8.43
1481,1936,20-05-2015,outros vegetais,2,205.25
1482,4316,11-01-2015,outros vegetais,0,176.97
1483,4375,05-10-2015,salsicha,1,239.24
1484,3468,08-07-2015,pastelaria,2,199.15
1485,1769,30-12-2015,pãezinhos / pãezinhos,7,96.53
1486,2542,24-11-2015,leite inteiro,8,156.99
1487,3830,10-07-2015,refrigerante,2,108.33
1488,3686,01-04-2015,refrigerante,2,255.59
1489,2774,28-10-2015,iogurte,5,211.74
1490,2164,19-03-2015,pãezinhos / pãezinhos,2,219.13
1491,4319,08-11-2015,salsicha,0,24.91
1492,3615,13-08-2015,leite inteiro,7,190.59
1493,4390,20-01-2015,leite inteiro,2,174.11
1494,1985,26-11-2015,água engarrafada,1,21.41
1495,2023,31-08-2015,citrino,0,64.22
1496,2261,29-06-2015,salsicha,3,180.34
1497,1737,23-01-2015,leite inteiro,0,253.26
1498,1304,30-04-2015,pãezinhos / pãezinhos,1,98.58
1499,3987,17-06-2015,citrino,0,253.65
1500,2770,15-07-2015,iogurte,4,88.48
1501,2256,21-08-2015,pastelaria,2,192.28
1502,2625,18-11-2015,outros vegetais,3,144.27
1503,1927,15-05-2015,fruta tropical,1,44.63
1504,3681,14-10-2015,leite inteiro,8,72.01
1505,1728,15-08-2015,refrigerante,0,209.53
1506,3735,20-04-2015,pãezinhos / pãezinhos,7,99.90
1507,2383,05-10-2015,refrigerante,9,109.63
1508,4890,22-04-2015,pãezinhos / pãezinhos,6,246.77
1509,2525,14-01-2015,leite inteiro,0,223.68
1510,3708,03-09-2015,pastelaria,4,55.14
1511,4784,11-09-2015,vegetais de raiz,5,47.23
1512,1777,10-07-2015,leite inteiro,8,232.24
1513,4891,09-01-2015,refrigerante,1,149.46
1514,3828,15-06-2015,iogurte,4,70.32
1515,2282,11-05-2015,citrino,0,16.22
1516,2743,10-08-2015,refrigerante,7,90.17
1517,1894,03-10-2015,outros vegetais,1,70.58
1518,4220,21-08-2015,iogurte,8,39.57
1519,4504,04-09-2015,vegetais de raiz,4,151.67
1520,4240,28-06-2015,outros vegetais,7,42.04
1521,2517,28-01-2015,salsicha,5,218.62
1522,1899,24-10-2015,pastelaria,8,5.84
1523,2934,11-05-2015,vegetais de raiz,5,203.57
1524,2508,27-12-2015,refrigerante,8,219.91
1525,1431,07-11-2015,citrino,0,49.82
1526,4148,09-02-2015,salsicha,1,228.86
1527,4780,19-09-2015,refrigerante,8,131.04
1528,3676,24-10-2015,salsicha,4,52.55
1529,4124,22-05-2015,leite inteiro,4,201.75
1530,4756,18-09-2015,fruta tropical,9,53.19
1531,4230,15-03-2015,salsicha,7,40.09
1532,4935,02-04-2015,fruta tropical,7,166.59
1533,2290,12-01-2015,leite inteiro,4,205.64
1534,3657,22-01-2015,salsicha,9,102.50
1535,2706,14-08-2015,salsicha,2,65.52
1536,2133,05-08-2015,refrigerante,3,103.14
1537,1080,14-05-2015,vegetais de raiz,3,123.13
1538,2167,18-10-2015,fruta tropical,0,10.64
1539,1391,19-03-2015,salsicha,8,212.75
1540,3347,05-06-2015,salsicha,5,135.19
1541,4091,28-12-2015,iogurte,2,150.76
1542,3590,27-02-2015,salsicha,9,63.57
1543,2613,11-04-2015,refrigerante,5,49.82
1544,4197,03-11-2015,refrigerante,9,22.70
1545,3045,26-03-2015,fruta tropical,4,140.10
1546,3931,08-03-2015,refrigerante,7,12.95
1547,3690,21-05-2015,salsicha,1,207.85
1548,2544,20-01-2015,fruta tropical,0,19.72
1549,2439,31-10-2015,água engarrafada,6,202.92
1550,2952,11-08-2015,citrino,2,167.37
1551,1472,19-09-2015,vegetais de raiz,3,178.01
1552,3781,21-04-2015,vegetais de raiz,8,237.69
1553,1079,09-09-2015,pãezinhos / pãezinhos,9,252.35
1554,4636,05-01-2015,iogurte,5,54.47
1555,2226,17-02-2015,outros vegetais,9,243.89
1556,4295,24-03-2015,salsicha,4,40.09
1557,2918,11-12-2015,água engarrafada,1,73.30
1558,1993,22-05-2015,vegetais de raiz,1,213.43
1559,3999,06-02-2015,leite inteiro,9,233.79
1560,2625,22-03-2015,citrino,7,34.25
1561,2398,08-01-2015,fruta tropical,2,138.82
1562,1726,26-12-2015,outros vegetais,1,88.20
1563,4835,09-12-2015,leite inteiro,8,214.33
1564,1832,17-11-2015,salsicha,3,99.77
1565,4856,18-01-2015,vegetais de raiz,5,123.25
1566,4364,24-12-2015,outros vegetais,6,115.73
1567,2876,22-03-2015,salsicha,2,51.25
1568,3499,04-05-2015,leite inteiro,8,247.03
1569,1512,23-02-2015,leite inteiro,3,188.13
1570,1551,14-01-2015,refrigerante,5,84.20
1571,3993,18-02-2015,pãezinhos / pãezinhos,5,189.40
1572,2807,03-07-2015,fruta tropical,5,38.90
1573,4923,19-04-2015,outros vegetais,9,42.04
1574,4312,19-10-2015,água engarrafada,6,159.58
1575,5000,10-02-2015,refrigerante,2,216.67
1576,3327,30-04-2015,refrigerante,3,32.31
1577,1058,06-04-2015,salsicha,1,14.14
1578,4397,03-04-2015,pastelaria,6,143.24
1579,3346,11-05-2015,fruta tropical,7,119.88
1580,1081,21-01-2015,fruta tropical,9,135.19
1581,4933,02-01-2015,salsicha,7,92.12
1582,1303,29-05-2015,leite inteiro,6,60.20
1583,4756,29-03-2015,outros vegetais,6,60.98
1584,2882,26-04-2015,salsicha,6,159.84
1585,1980,15-10-2015,água engarrafada,5,143.24
1586,3534,11-11-2015,salsicha,0,66.43
1587,4228,18-04-2015,fruta tropical,5,52.55
1588,1928,15-08-2015,citrino,8,92.38
1589,2064,21-08-2015,leite inteiro,8,56.05
1590,1327,04-07-2015,salsicha,4,166.72
1591,4515,15-06-2015,refrigerante,6,50.47
1592,1527,20-04-2015,citrino,4,145.83
1593,1726,02-11-2015,outros vegetais,5,22.06
1594,4734,10-02-2015,salsicha,5,81.09
1595,2244,29-03-2015,outros vegetais,7,97.18
1596,4281,03-04-2015,pãezinhos / pãezinhos,7,141.42
1597,2977,14-04-2015,outros vegetais,4,57.74
1598,2119,24-09-2015,outros vegetais,7,220.54
1599,3208,24-06-2015,vegetais de raiz,0,1.30
1600,3344,01-04-2015,leite inteiro,3,26.47
1601,3356,23-05-2015,fruta tropical,2,57.74
1602,3227,30-11-2015,refrigerante,6,68.11
1603,1035,24-04-2015,leite inteiro,6,150.47
1604,4312,14-12-2015,salsicha,4,206.94
1605,1253,20-06-2015,salsicha,7,166.59
1606,2260,30-10-2015,salsicha,9,10.64
1607,3710,22-08-2015,leite inteiro,0,67.44
1608,1846,29-11-2015,salsicha,7,175.15
1609,2816,19-06-2015,pastelaria,6,87.19
1610,3104,04-06-2015,pãezinhos / pãezinhos,0,71.62
1611,1283,30-05-2015,água engarrafada,9,146.61
1612,1130,18-09-2015,água engarrafada,1,19.33
1613,2816,01-10-2015,pãezinhos / pãezinhos,4,61.63
1614,4192,16-12-2015,iogurte,9,249.08
1615,3208,20-11-2015,pãezinhos / pãezinhos,6,59.94
1616,1949,11-04-2015,refrigerante,1,18.81
1617,4268,25-04-2015,pãezinhos / pãezinhos,9,71.36
1618,2372,03-09-2015,outros vegetais,0,11.68
1619,1048,06-10-2015,pãezinhos / pãezinhos,7,228.61
1620,4831,19-02-2015,pãezinhos / pãezinhos,0,218.23
1621,3441,12-04-2015,outros vegetais,9,158.80
1622,2670,29-04-2015,iogurte,0,182.81
1623,4292,18-08-2015,citrino,8,130.26
1624,4303,22-02-2015,salsicha,0,34.90
1625,1235,01-01-2015,salsicha,4,49.82
1626,4529,03-01-2015,leite inteiro,2,2.85
1627,1827,07-05-2015,salsicha,0,150.76
1628,3054,27-05-2015,fruta tropical,3,51.25
1629,4555,23-07-2015,fruta tropical,4,75.77
1630,4299,08-02-2015,citrino,0,238.08
1631,2905,22-10-2015,fruta tropical,9,152.06
1632,2796,17-10-2015,outros vegetais,5,60.98
1633,1501,17-08-2015,água engarrafada,9,112.88
1634,1105,22-05-2015,água engarrafada,1,42.17
1635,3025,21-04-2015,citrino,8,1.17
1636,4592,13-07-2015,citrino,1,109.24
1637,1838,25-03-2015,fruta tropical,2,143.36
1638,4485,25-07-2015,vegetais de raiz,9,159.45
1639,3262,08-07-2015,leite inteiro,8,149.20
1640,3370,03-02-2015,refrigerante,6,36.30
1641,3818,13-05-2015,outros vegetais,0,15.83
1642,1051,12-10-2015,fruta tropical,2,21.02
1643,3806,15-03-2015,iogurte,5,251.96
1644,1869,16-05-2015,vegetais de raiz,3,203.69
1645,1163,14-12-2015,leite inteiro,0,143.88
1646,4787,17-05-2015,salsicha,2,3.24
1647,4364,05-09-2015,salsicha,3,190.72
1648,2221,18-12-2015,refrigerante,0,226.01
1649,4548,30-05-2015,leite inteiro,8,56.05
1650,1564,19-06-2015,fruta tropical,5,201.36
1651,4552,17-10-2015,leite inteiro,0,146.61
1652,4246,13-06-2015,iogurte,9,250.66
1653,2889,20-01-2015,citrino,4,239.89
1654,4898,26-07-2015,salsicha,2,113.52
1655,4998,14-10-2015,pãezinhos / pãezinhos,8,27.89
1656,2165,28-01-2015,refrigerante,4,203.95
1657,3075,15-10-2015,outros vegetais,4,242.62
1658,3973,28-01-2015,vegetais de raiz,7,225.72
1659,3775,27-10-2015,vegetais de raiz,6,176.97
1660,3135,26-07-2015,iogurte,9,119.88
1661,2738,25-07-2015,outros vegetais,4,242.49
1662,4455,24-10-2015,iogurte,7,41.49
1663,3593,27-05-2015,fruta tropical,4,59.03
1664,1876,16-06-2015,fruta tropical,2,107.69
1665,1536,02-05-2015,leite inteiro,5,236.65
1666,2188,28-11-2015,pãezinhos / pãezinhos,2,92.12
1667,2680,03-01-2015,salsicha,9,7.76
1668,1950,14-06-2015,outros vegetais,0,65.39
1669,2540,05-03-2015,salsicha,1,188.00
1670,3255,24-05-2015,pãezinhos / pãezinhos,6,65.13
1671,2521,14-12-2015,vegetais de raiz,7,221.08
1672,1381,06-03-2015,outros vegetais,0,115.73
1673,2833,14-08-2015,citrino,5,255.59
1674,2654,03-03-2015,vegetais de raiz,0,132.31
1675,4852,28-04-2015,iogurte,7,122.61
1676,2340,12-07-2015,salsicha,9,245.08
1677,1987,15-10-2015,citrino,4,0.26
1678,4336,10-10-2015,salsicha,2,25.30
1679,1924,17-11-2015,vegetais de raiz,7,229.90
1680,4335,10-06-2015,salsicha,2,109.63
1681,4303,23-08-2015,outros vegetais,6,73.17
1682,3042,02-10-2015,leite inteiro,9,254.27
1683,4194,07-02-2015,água engarrafada,1,156.86
1684,3891,03-07-2015,pãezinhos / pãezinhos,7,87.19
1685,1062,16-04-2015,fruta tropical,8,88.20
1686,2469,23-03-2015,outros vegetais,9,181.61
1687,1067,20-07-2015,pãezinhos / pãezinhos,4,252.87
1688,1998,15-05-2015,vegetais de raiz,2,255.59
1689,1992,02-08-2015,pãezinhos / pãezinhos,1,229.64
1690,1261,21-05-2015,pãezinhos / pãezinhos,9,39.18
1691,2129,18-03-2015,leite inteiro,9,51.25
1692,1684,03-01-2015,leite inteiro,9,187.35
1693,4240,18-09-2015,citrino,6,175.80
1694,2750,14-09-2015,outros vegetais,6,167.24
1695,1721,15-10-2015,outros vegetais,9,47.23
1696,4344,01-03-2015,salsicha,3,140.38
1697,3650,17-07-2015,outros vegetais,1,119.88
1698,2318,16-01-2015,outros vegetais,0,80.41
1699,1776,02-03-2015,leite inteiro,2,246.77
1700,3120,07-07-2015,iogurte,3,22.06
1701,1736,29-08-2015,pãezinhos / pãezinhos,1,200.97
1702,4950,22-04-2015,pãezinhos / pãezinhos,8,135.19
1703,2481,24-11-2015,pãezinhos / pãezinhos,2,163.45
1704,1648,27-02-2015,salsicha,4,60.33
1705,3307,06-10-2015,citrino,6,195.26
1706,2587,02-06-2015,refrigerante,6,194.59
1707,1325,26-05-2015,água engarrafada,7,115.47
1708,1211,24-05-2015,pãezinhos / pãezinhos,5,82.00
1709,1753,26-02-2015,salsicha,0,72.63
1710,4664,26-05-2015,pãezinhos / pãezinhos,9,13.62
1711,3827,03-11-2015,refrigerante,3,229.51
1712,1098,27-09-2015,vegetais de raiz,0,257.54
1713,3712,20-12-2015,salsicha,5,166.59
1714,4150,23-08-2015,leite inteiro,4,28.80
1715,1118,25-12-2015,leite inteiro,9,75.51
1716,2537,07-05-2015,salsicha,6,234.18
1717,4267,13-09-2015,salsicha,8,147.26
1718,3926,23-03-2015,iogurte,0,121.31
1719,4105,03-12-2015,salsicha,3,148.17
1720,1884,05-08-2015,vegetais de raiz,6,53.06
1721,2643,01-12-2015,fruta tropical,2,216.02
1722,3927,03-09-2015,fruta tropical,0,180.99
1723,2410,18-11-2015,citrino,5,75.77
1724,3138,19-04-2015,outros vegetais,3,82.00
1725,1178,19-04-2015,outros vegetais,6,94.06
1726,4112,14-02-2015,citrino,1,113.13
1727,2428,21-08-2015,iogurte,7,220.54
1728,1583,23-11-2015,refrigerante,7,202.92
1729,3998,28-03-2015,iogurte,5,1.95
1730,4662,19-10-2015,pastelaria,8,160.85
1731,1920,16-02-2015,leite inteiro,2,51.87
1732,4104,27-07-2015,outros vegetais,8,145.83
1733,1903,25-01-2015,água engarrafada,6,97.18
1734,3578,16-05-2015,salsicha,0,187.09
1735,2238,06-12-2015,salsicha,1,48.00
1736,4439,18-03-2015,leite inteiro,3,149.07
1737,1698,26-06-2015,outros vegetais,7,87.58
1738,3558,25-04-2015,leite inteiro,9,39.44
1739,3026,01-01-2015,citrino,9,210.44
1740,1127,15-10-2015,outros vegetais,5,70.32
1741,4153,05-02-2015,outros vegetais,5,36.85
1742,1466,01-12-2015,salsicha,7,219.52
1743,3321,13-07-2015,salsicha,7,234.18
1744,3484,21-11-2015,leite inteiro,0,81.09
1745,1937,17-10-2015,leite inteiro,2,102.76
1746,2101,20-12-2015,salsicha,1,37.88
1747,1276,28-04-2015,salsicha,9,93.93
1748,2255,01-05-2015,fruta tropical,1,15.83
1749,4992,20-06-2015,leite inteiro,4,45.28
1750,3303,25-01-2015,água engarrafada,8,208.75
1751,3455,13-09-2015,outros vegetais,0,170.61
1752,3591,11-05-2015,leite inteiro,8,81.09
1753,2487,27-03-2015,fruta tropical,1,38.90
1754,2786,25-03-2015,salsicha,4,258.45
1755,1295,28-01-2015,salsicha,4,151.02
1756,4054,06-05-2015,pãezinhos / pãezinhos,7,157.25
1757,1347,31-07-2015,leite inteiro,7,245.86
1758,4190,04-04-2015,citrino,6,114.82
1759,2942,01-02-2015,salsicha,2,244.17
1760,2932,22-01-2015,salsicha,8,126.50
1761,2321,16-06-2015,fruta tropical,0,60.98
1762,2930,23-03-2015,outros vegetais,8,237.30
1763,4877,20-06-2015,vegetais de raiz,6,16.22
1764,2239,13-12-2015,salsicha,5,143.36
1765,1390,02-03-2015,pastelaria,6,195.13
1766,2512,02-09-2015,leite inteiro,5,24.52
1767,4038,06-11-2015,vegetais de raiz,6,82.39
1768,2813,01-10-2015,leite inteiro,7,44.63
1769,3055,18-08-2015,outros vegetais,4,160.85
1770,1733,18-03-2015,leite inteiro,2,116.74
1771,3042,05-10-2015,outros vegetais,8,36.85
1772,4069,03-05-2015,pãezinhos / pãezinhos,1,217.32
1773,3588,05-05-2015,citrino,7,31.40
1774,4175,29-01-2015,pãezinhos / pãezinhos,3,233.51
1775,2270,09-06-2015,leite inteiro,2,29.84
1776,1406,28-12-2015,fruta tropical,1,195.91
1777,3358,21-02-2015,citrino,1,34.90
1778,1994,11-03-2015,leite inteiro,8,10.64
1779,4892,09-01-2015,outros vegetais,9,24.00
1780,3531,29-08-2015,salsicha,4,82.39
1781,1148,15-04-2015,iogurte,3,192.67
1782,2158,01-08-2015,pãezinhos / pãezinhos,7,149.46
1783,3180,19-10-2015,vegetais de raiz,2,180.99
1784,2364,21-06-2015,leite inteiro,8,181.61
1785,4324,05-01-2015,salsicha,8,246.48
1786,3497,14-06-2015,outros vegetais,3,153.61
1787,1008,21-07-2015,fruta tropical,4,34.90
1788,4572,29-10-2015,salsicha,1,183.58
1789,2694,24-11-2015,leite inteiro,2,122.22
1790,3481,03-08-2015,citrino,7,59.03
1791,3752,20-08-2015,leite inteiro,7,119.34
1792,1090,31-08-2015,salsicha,2,158.26
1793,2492,01-11-2015,iogurte,9,64.22
1794,4688,01-08-2015,vegetais de raiz,6,144.01
1795,3633,14-07-2015,pãezinhos / pãezinhos,2,73.82
1796,1220,09-02-2015,pãezinhos / pãezinhos,4,27.25
1797,1183,12-06-2015,salsicha,7,203.57
1798,1999,24-08-2015,pãezinhos / pãezinhos,4,239.24
1799,4828,11-10-2015,pãezinhos / pãezinhos,3,93.93
1800,3608,12-10-2015,salsicha,9,27.25
1801,1969,23-07-2015,salsicha,7,45.67
1802,2646,03-06-2015,refrigerante,6,164.64
1803,1777,22-04-2015,fruta tropical,1,138.18
1804,4291,29-07-2015,citrino,2,125.85
1805,3579,02-06-2015,salsicha,5,197.73
1806,3959,05-10-2015,fruta tropical,1,111.55
1807,2271,20-11-2015,leite inteiro,0,86.93
1808,4098,09-01-2015,refrigerante,5,35.03
1809,3289,31-03-2015,iogurte,4,170.61
1810,3659,21-06-2015,citrino,5,106.65
1811,1364,20-06-2015,vegetais de raiz,3,227.05
1812,3184,04-09-2015,leite inteiro,3,76.55
1813,1135,29-04-2015,leite inteiro,8,148.17
1814,1394,14-02-2015,leite inteiro,8,59.66
1815,2381,13-01-2015,salsicha,7,70.32
1816,4110,28-11-2015,leite inteiro,9,161.14
1817,4191,28-04-2015,outros vegetais,5,174.37
1818,1032,23-08-2015,iogurte,5,249.08
1819,3588,19-08-2015,leite inteiro,3,208.11
1820,3394,15-06-2015,pastelaria,8,227.31
1821,2580,24-10-2015,fruta tropical,6,215.89
1822,4825,09-06-2015,fruta tropical,6,122.48
1823,4368,12-10-2015,salsicha,2,52.55
1824,4852,17-06-2015,leite inteiro,0,29.71
1825,2631,27-09-2015,salsicha,5,0.52
1826,1623,01-03-2015,citrino,3,187.48
1827,2379,19-09-2015,refrigerante,6,236.78
1828,4361,27-01-2015,outros vegetais,3,77.82
1829,3419,25-07-2015,fruta tropical,4,90.17
1830,1286,12-08-2015,leite inteiro,1,183.20
1831,1236,11-05-2015,leite inteiro,5,52.16
1832,4773,09-11-2015,fruta tropical,3,180.99
1833,1038,02-04-2015,leite inteiro,8,36.98
1834,2172,02-03-2015,citrino,6,197.18
1835,2712,11-09-2015,outros vegetais,4,260.65
1836,4761,08-09-2015,salsicha,4,184.75
1837,3250,12-04-2015,fruta tropical,3,114.69
1838,1679,24-06-2015,outros vegetais,1,22.06
1839,4820,23-07-2015,leite inteiro,8,110.93
1840,2079,16-05-2015,refrigerante,9,82.00
1841,4286,06-06-2015,outros vegetais,4,47.23
1842,3050,10-08-2015,leite inteiro,9,212.13
1843,2888,05-09-2015,salsicha,6,237.43
1844,2376,28-05-2015,salsicha,2,121.93
1845,2311,06-06-2015,água engarrafada,9,15.83
1846,4199,04-08-2015,refrigerante,1,96.53
1847,1416,04-03-2015,salsicha,9,147.88
1848,4037,09-05-2015,refrigerante,2,208.75
1849,4658,14-07-2015,salsicha,8,216.93
1850,1408,23-07-2015,vegetais de raiz,6,15.83
1851,4041,16-10-2015,refrigerante,0,162.05
1852,4593,07-04-2015,outros vegetais,2,171.78
1853,4875,22-08-2015,pastelaria,7,11.55
1854,1909,10-01-2015,salsicha,1,206.29
1855,4906,16-09-2015,fruta tropical,0,164.12
1856,4478,04-12-2015,refrigerante,5,168.02
1857,4178,13-11-2015,fruta tropical,9,239.89
1858,3980,09-04-2015,iogurte,4,152.45
1859,2519,14-03-2015,salsicha,3,100.16
1860,2568,09-10-2015,salsicha,8,246.77
1861,1130,15-01-2015,fruta tropical,4,197.73
1862,2716,10-09-2015,fruta tropical,2,183.58
1863,4524,26-08-2015,leite inteiro,3,64.22
1864,1379,01-07-2015,outros vegetais,8,182.94
1865,3259,02-09-2015,salsicha,4,68.76
1866,3268,13-07-2015,citrino,6,235.09
1867,1154,06-04-2015,vegetais de raiz,1,72.91
1868,2408,25-03-2015,salsicha,3,166.04
1869,3505,21-07-2015,refrigerante,0,29.06
1870,4503,19-12-2015,fruta tropical,8,187.48
1871,4292,27-03-2015,salsicha,6,186.18
1872,4906,30-09-2015,refrigerante,2,37.88
1873,2745,08-04-2015,fruta tropical,8,214.33
1874,4682,17-05-2015,salsicha,6,125.20
1875,2553,01-02-2015,leite inteiro,2,41.49
1876,1873,14-02-2015,iogurte,2,141.29
1877,3738,15-07-2015,outros vegetais,6,250.40
1878,2042,17-11-2015,iogurte,3,189.68
1879,4669,27-05-2015,leite inteiro,6,87.19
1880,2290,10-09-2015,outros vegetais,5,168.92
1881,3539,24-01-2015,vegetais de raiz,4,231.59
1882,1002,26-04-2015,fruta tropical,1,91.47
1883,3222,05-08-2015,citrino,2,126.11
1884,4665,26-02-2015,salsicha,8,136.88
1885,2977,03-01-2015,pãezinhos / pãezinhos,2,190.98
1886,3052,04-07-2015,citrino,3,75.77
1887,4943,28-07-2015,salsicha,5,188.77
1888,2794,12-09-2015,leite inteiro,8,245.47
1889,2873,03-09-2015,outros vegetais,9,253.26
1890,2707,22-06-2015,água engarrafada,4,81.09
1891,2718,25-01-2015,leite inteiro,7,123.90
1892,3711,08-07-2015,leite inteiro,3,238.08
1893,1702,14-01-2015,leite inteiro,9,190.59
1894,3893,15-04-2015,vegetais de raiz,7,80.70
1895,1950,23-10-2015,salsicha,4,165.03
1896,3205,20-03-2015,salsicha,5,135.58
1897,1943,24-03-2015,água engarrafada,2,64.22
1898,2659,15-06-2015,fruta tropical,9,32.69
1899,1077,12-09-2015,fruta tropical,1,150.47
1900,2403,28-11-2015,leite inteiro,7,27.51
1901,3324,24-08-2015,leite inteiro,0,224.32
1902,3652,18-09-2015,outros vegetais,5,180.99
1903,2233,28-08-2015,iogurte,4,234.83
1904,2187,16-08-2015,leite inteiro,4,234.70
1905,1341,16-09-2015,outros vegetais,3,245.08
1906,3471,29-05-2015,pastelaria,8,127.12
1907,2617,22-05-2015,leite inteiro,9,118.32
1908,2265,29-07-2015,outros vegetais,2,189.94
1909,1046,18-06-2015,leite inteiro,0,57.35
1910,1484,24-02-2015,vegetais de raiz,8,225.10
1911,3741,21-11-2015,pãezinhos / pãezinhos,9,19.33
1912,1655,20-11-2015,salsicha,8,56.05
1913,3370,12-11-2015,vegetais de raiz,3,120.92
1914,1472,06-07-2015,vegetais de raiz,6,192.67
1915,1854,26-07-2015,outros vegetais,3,7.14
1916,4113,19-07-2015,fruta tropical,4,31.40
1917,2653,07-12-2015,leite inteiro,9,69.41
1918,3494,04-07-2015,citrino,2,27.51
1919,2008,21-10-2015,leite inteiro,5,136.10
1920,4667,23-02-2015,salsicha,3,52.16
1921,3002,19-02-2015,fruta tropical,6,48.65
1922,3406,17-05-2015,salsicha,1,153.07
1923,1844,10-02-2015,vegetais de raiz,9,148.17
1924,4793,24-02-2015,refrigerante,9,25.30
1925,4611,08-03-2015,outros vegetais,4,104.05
1926,4589,08-12-2015,salsicha,9,8.43
1927,1863,11-02-2015,fruta tropical,7,105.74
1928,3154,05-01-2015,pãezinhos / pãezinhos,5,159.84
1929,4964,30-11-2015,leite inteiro,1,37.63
1930,4537,20-12-2015,outros vegetais,6,18.42
1931,2063,27-11-2015,vegetais de raiz,2,203.05
1932,4873,27-04-2015,pãezinhos / pãezinhos,2,233.51
1933,4420,25-02-2015,pãezinhos / pãezinhos,2,47.36
1934,4571,05-04-2015,citrino,8,240.28
1935,4503,26-11-2015,pastelaria,9,228.99
1936,4526,18-01-2015,outros vegetais,7,163.45
1937,4327,26-04-2015,citrino,9,1.95
1938,2061,15-12-2015,salsicha,3,16.09
1939,3345,30-09-2015,refrigerante,2,247.68
1940,1937,19-01-2015,citrino,7,115.73
1941,2055,08-11-2015,outros vegetais,1,43.46
1942,4716,01-03-2015,salsicha,6,49.95
