Member_number,Date,itemDescription,quantidade,price
1155,01-04-2015,whole milk,1,56.10
3101,17-12-2015,sausage,8,76.75
2433,19-10-2015,bottled water,1,71.60
3144,16-08-2015,tropical fruit,6,8.60
1609,17-12-2015,rolls/buns,3,77.75
2982,25-06-2015,citrus fruit,8,2.10
1804,30-11-2015,sausage,1,68.75
4997,27-12-2015,tropical fruit,2,20.50
2789,28-01-2015,whole milk,6,1.75
2641,01-03-2015,whole milk,4,65.45
2102,10-05-2015,rolls/buns,0,41.20
2979,17-07-2015,sausage,0,20.99
3685,04-03-2015,tropical fruit,8,94.75
1149,06-08-2015,soda,8,27.60
4608,05-01-2015,whole milk,1,70.75
3794,26-11-2015,tropical fruit,5,43.99
3050,20-10-2015,other vegetables,4,11.99
2523,12-01-2015,yogurt,3,60.20
4633,14-04-2015,bottled water,7,82.10
2440,02-03-2015,tropical fruit,8,56.99
3691,12-02-2015,yogurt,8,66.10
2370,28-08-2015,tropical fruit,9,98.60
4744,28-10-2015,citrus fruit,5,20.75
4876,21-02-2015,soda,6,29.10
1296,20-08-2015,tropical fruit,0,56.99
4845,28-08-2015,bottled water,3,8.25
2777,24-05-2015,pastry,6,14.75
4220,10-08-2015,tropical fruit,2,45.45
2194,09-01-2015,soda,2,83.10
4189,07-04-2015,rolls/buns,0,77.60
3886,01-04-2015,soda,2,19.60
1291,14-01-2015,tropical fruit,9,61.10
1374,10-03-2015,whole milk,6,31.99
4015,20-02-2015,yogurt,0,82.50
3009,18-02-2015,sausage,1,80.25
2985,05-01-2015,tropical fruit,5,23.60
1205,14-03-2015,yogurt,2,24.45
2677,23-12-2015,sausage,3,81.75
1540,14-08-2015,whole milk,1,87.10
1363,16-06-2015,whole milk,4,20.75
1761,09-08-2015,rolls/buns,1,35.99
4300,04-04-2015,citrus fruit,4,30.99
1097,01-11-2015,tropical fruit,9,77.50
3766,07-05-2015,citrus fruit,9,22.60
2348,28-02-2015,citrus fruit,0,15.20
3986,25-07-2015,tropical fruit,6,26.75
3861,07-07-2015,rolls/buns,3,54.50
1094,07-01-2015,sausage,4,76.50
4743,24-01-2015,sausage,4,70.99
3543,02-06-2015,whole milk,1,60.99
2004,21-08-2015,yogurt,2,27.20
4171,03-06-2015,yogurt,0,99.50
3041,15-09-2015,sausage,3,69.10
1324,10-07-2015,citrus fruit,5,55.75
4260,30-05-2015,sausage,5,36.75
1494,29-09-2015,whole milk,6,46.60
2521,03-03-2015,citrus fruit,8,76.99
1939,30-10-2015,root vegetables,3,76.60
1361,08-09-2015,whole milk,4,83.60
2294,10-05-2015,rolls/buns,4,91.10
3579,30-12-2015,other vegetables,7,91.50
2051,20-04-2015,whole milk,6,92.20
2113,07-09-2015,bottled water,4,59.25
1909,31-08-2015,sausage,6,30.10
2142,19-05-2015,yogurt,8,56.75
1993,08-07-2015,tropical fruit,2,92.20
1177,14-10-2015,rolls/buns,7,31.75
2499,24-04-2015,root vegetables,7,70.60
4427,14-01-2015,tropical fruit,3,14.99
1242,04-12-2015,sausage,5,53.25
3507,10-11-2015,whole milk,5,88.75
3072,26-01-2015,whole milk,8,45.75
3354,14-01-2015,citrus fruit,0,70.10
3656,11-03-2015,tropical fruit,6,39.20
4417,18-05-2015,sausage,2,78.99
3296,06-06-2015,whole milk,1,44.99
1754,17-09-2015,citrus fruit,0,37.20
1218,29-12-2015,tropical fruit,4,94.25
3321,25-12-2015,sausage,4,1.50
4444,22-07-2015,sausage,1,96.20
2348,01-11-2015,whole milk,3,70.50
4275,18-08-2015,whole milk,2,42.20
1627,11-02-2015,root vegetables,0,24.10
1461,21-12-2015,bottled water,8,81.25
4266,17-06-2015,soda,6,24.25
3117,30-09-2015,citrus fruit,3,97.60
1154,17-05-2015,citrus fruit,0,72.99
4035,12-01-2015,sausage,1,23.20
1500,06-01-2015,rolls/buns,2,86.20
4357,13-04-2015,sausage,8,98.60
1199,21-11-2015,rolls/buns,5,39.45
4376,16-07-2015,whole milk,1,59.60
4501,15-06-2015,other vegetables,0,68.25
3922,01-04-2015,citrus fruit,0,17.20
3586,02-05-2015,whole milk,7,52.45
2518,03-07-2015,soda,1,98.10
1690,03-03-2015,sausage,0,61.45
2176,04-02-2015,pastry,0,21.99
3460,14-02-2015,tropical fruit,2,53.60
2939,03-08-2015,root vegetables,8,2.20
3380,16-05-2015,root vegetables,4,16.75
1785,07-06-2015,sausage,8,3.10
1646,28-08-2015,soda,3,44.60
1412,16-11-2015,soda,0,24.75
1892,24-04-2015,whole milk,3,95.10
4107,15-11-2015,tropical fruit,0,84.75
4853,17-09-2015,yogurt,6,77.75
2196,23-08-2015,soda,2,52.99
1026,28-05-2015,root vegetables,3,76.20
1040,26-11-2015,tropical fruit,7,50.75
1137,26-09-2015,whole milk,1,2.45
2604,12-02-2015,root vegetables,3,58.60
2402,06-09-2015,whole milk,1,98.45
4130,06-11-2015,rolls/buns,3,17.99
1734,08-06-2015,sausage,2,33.45
1104,04-01-2015,yogurt,0,69.25
4204,16-10-2015,whole milk,4,27.45
2022,22-07-2015,sausage,3,91.25
2242,05-06-2015,rolls/buns,7,76.60
1427,26-11-2015,rolls/buns,4,9.60
1349,13-04-2015,bottled water,5,11.25
4691,08-01-2015,soda,2,61.20
2471,13-08-2015,rolls/buns,7,45.10
3252,22-08-2015,citrus fruit,9,89.50
2359,21-04-2015,pastry,3,46.25
2563,03-06-2015,rolls/buns,2,66.60
2386,04-10-2015,soda,9,29.45
1014,03-10-2015,whole milk,9,49.20
1389,18-02-2015,root vegetables,3,22.75
1833,12-07-2015,soda,4,47.20
4028,08-07-2015,other vegetables,7,48.20
4536,24-02-2015,citrus fruit,2,0.75
1489,23-06-2015,rolls/buns,8,55.75
3909,09-02-2015,tropical fruit,3,78.50
2855,03-02-2015,sausage,7,87.20
4881,28-07-2015,yogurt,1,80.75
1608,10-11-2015,tropical fruit,2,26.50
1911,02-06-2015,root vegetables,9,14.45
1000,15-03-2015,sausage,2,99.10
3955,28-08-2015,sausage,9,44.75
4232,19-12-2015,whole milk,7,99.45
3472,28-02-2015,citrus fruit,1,98.75
4217,05-02-2015,bottled water,0,42.10
3778,01-10-2015,pastry,3,84.25
2666,06-04-2015,sausage,5,44.75
3518,18-05-2015,sausage,0,60.75
4525,28-09-2015,whole milk,4,76.10
1339,28-11-2015,bottled water,1,88.10
3389,26-01-2015,whole milk,3,23.50
2683,11-08-2015,rolls/buns,5,38.45
4063,12-11-2015,sausage,1,25.60
3014,19-10-2015,sausage,5,88.45
3613,05-06-2015,whole milk,0,42.25
3152,24-11-2015,rolls/buns,6,98.20
4187,28-10-2015,rolls/buns,3,87.25
2001,03-03-2015,citrus fruit,3,55.20
1584,26-01-2015,rolls/buns,0,34.10
4942,06-08-2015,sausage,5,90.25
2083,07-11-2015,tropical fruit,5,56.20
2070,24-03-2015,citrus fruit,5,5.25
2222,28-12-2015,whole milk,4,75.99
2410,21-11-2015,bottled water,0,42.20
2728,28-11-2015,whole milk,9,49.75
1391,01-08-2015,yogurt,9,30.10
2167,08-12-2015,whole milk,4,61.45
3048,20-08-2015,sausage,9,93.25
3876,03-10-2015,other vegetables,7,35.60
3937,19-11-2015,tropical fruit,3,62.20
4031,14-01-2015,root vegetables,7,7.60
3986,18-11-2015,yogurt,1,74.25
2392,15-12-2015,soda,2,4.20
2875,01-11-2015,whole milk,9,30.45
4512,21-12-2015,bottled water,2,70.50
1932,07-09-2015,whole milk,5,35.20
4672,13-02-2015,whole milk,4,73.75
4432,28-05-2015,whole milk,6,70.60
2129,11-08-2015,other vegetables,8,77.45
3271,27-12-2015,sausage,8,28.99
4648,08-10-2015,whole milk,4,53.50
3595,15-10-2015,other vegetables,7,91.75
2752,10-10-2015,sausage,0,73.75
1697,23-02-2015,tropical fruit,3,69.45
3884,07-04-2015,citrus fruit,6,91.25
1663,11-11-2015,tropical fruit,9,97.99
2799,25-05-2015,sausage,2,59.10
1004,02-12-2015,other vegetables,3,60.50
2401,15-01-2015,whole milk,1,0.25
2485,18-05-2015,other vegetables,5,0.20
2261,18-06-2015,sausage,2,61.10
1904,18-04-2015,whole milk,9,39.50
4233,16-06-2015,whole milk,1,18.99
3928,26-09-2015,whole milk,3,22.25
1063,23-01-2015,rolls/buns,9,80.25
3365,28-06-2015,bottled water,8,72.99
2795,06-05-2015,citrus fruit,1,12.50
1336,04-04-2015,citrus fruit,9,6.25
2937,31-07-2015,whole milk,5,96.10
3719,04-06-2015,soda,2,28.20
2757,15-02-2015,sausage,9,30.45
1783,07-07-2015,sausage,1,52.75
1355,25-02-2015,pastry,5,36.45
4216,28-04-2015,sausage,6,4.60
2984,24-02-2015,citrus fruit,7,57.50
4798,24-08-2015,rolls/buns,3,34.60
2433,31-07-2015,soda,7,71.45
2092,24-05-2015,sausage,1,20.10
1636,04-05-2015,other vegetables,3,92.10
3835,16-09-2015,yogurt,4,66.45
2932,22-01-2015,root vegetables,0,48.45
4049,01-08-2015,tropical fruit,3,52.25
2930,23-03-2015,whole milk,1,39.10
4877,20-06-2015,sausage,7,90.10
1277,07-06-2015,whole milk,3,47.45
2239,13-12-2015,whole milk,7,36.50
3504,06-07-2015,root vegetables,9,35.45
4038,06-11-2015,tropical fruit,2,25.75
2813,01-10-2015,sausage,8,53.10
3055,18-08-2015,other vegetables,5,62.50
4864,27-03-2015,whole milk,1,94.45
4812,27-05-2015,soda,7,37.20
3042,05-10-2015,whole milk,6,58.99
2270,09-06-2015,pastry,6,20.20
1406,28-12-2015,sausage,0,84.75
3910,18-12-2015,rolls/buns,4,41.10
1995,12-06-2015,soda,2,58.10
1994,11-03-2015,whole milk,7,1.20
4892,09-01-2015,citrus fruit,9,50.50
1148,15-04-2015,sausage,0,25.45
2510,29-09-2015,soda,9,48.45
3180,19-10-2015,pastry,1,2.20
3207,08-08-2015,tropical fruit,4,84.60
1226,12-11-2015,citrus fruit,8,22.60
1509,04-11-2015,yogurt,7,21.10
2364,21-06-2015,root vegetables,8,48.75
4324,05-01-2015,sausage,3,94.20
3497,14-06-2015,soda,2,16.10
1008,21-07-2015,soda,7,71.50
4572,29-10-2015,whole milk,2,68.75
4030,04-07-2015,sausage,2,11.10
2422,12-08-2015,sausage,3,44.50
2694,24-11-2015,whole milk,5,34.25
3821,03-01-2015,whole milk,2,73.75
3752,20-08-2015,whole milk,7,74.20
3262,08-12-2015,rolls/buns,4,95.99
1370,28-06-2015,whole milk,2,97.25
4688,01-08-2015,sausage,3,64.45
3608,12-10-2015,whole milk,8,76.99
3460,24-07-2015,root vegetables,6,90.99
3002,13-08-2015,citrus fruit,8,45.50
4731,04-04-2015,rolls/buns,0,65.75
3812,13-11-2015,rolls/buns,1,36.10
2502,15-04-2015,soda,1,97.20
1135,10-07-2015,sausage,1,74.50
4234,17-07-2015,whole milk,6,68.25
1638,12-03-2015,whole milk,9,19.60
3903,06-02-2015,other vegetables,1,29.45
1245,27-06-2015,soda,4,6.60
3095,13-10-2015,citrus fruit,2,2.99
3592,28-10-2015,other vegetables,2,80.50
1305,23-05-2015,sausage,7,69.75
3189,03-02-2015,yogurt,7,37.75
4444,06-10-2015,soda,0,0.50
3214,14-01-2015,tropical fruit,3,48.25
2772,18-03-2015,tropical fruit,0,30.20
4351,21-08-2015,other vegetables,3,88.60
1598,02-03-2015,root vegetables,3,30.50
2365,11-06-2015,sausage,0,69.25
2602,08-02-2015,sausage,2,93.75
2652,01-08-2015,yogurt,2,16.10
1777,03-12-2015,yogurt,2,5.25
4007,23-12-2015,citrus fruit,9,29.60
2270,04-02-2015,tropical fruit,4,52.60
2306,09-10-2015,rolls/buns,5,32.20
2517,12-12-2015,tropical fruit,3,45.50
2560,07-06-2015,whole milk,6,44.50
1416,22-08-2015,other vegetables,5,98.60
4293,23-04-2015,other vegetables,2,91.99
4467,23-04-2015,other vegetables,3,57.25
4749,15-02-2015,tropical fruit,2,49.50
3621,14-07-2015,other vegetables,6,12.10
3219,04-08-2015,other vegetables,3,14.10
1698,22-07-2015,other vegetables,9,30.10
2073,30-04-2015,rolls/buns,5,63.75
3890,26-10-2015,root vegetables,9,39.20
3147,24-12-2015,tropical fruit,8,76.75
3183,07-08-2015,tropical fruit,5,23.99
1878,17-10-2015,sausage,4,16.25
2523,12-02-2015,soda,4,0.10
4806,27-10-2015,sausage,9,61.20
2422,11-11-2015,citrus fruit,7,80.10
1164,30-03-2015,whole milk,0,50.10
1821,21-05-2015,tropical fruit,2,12.20
4515,10-05-2015,other vegetables,6,22.99
3352,13-06-2015,sausage,3,24.20
1545,17-10-2015,whole milk,8,99.10
2999,03-08-2015,sausage,6,11.50
2517,29-09-2015,other vegetables,6,79.75
4492,14-06-2015,sausage,4,3.50
1217,18-02-2015,whole milk,3,82.99
4337,26-10-2015,tropical fruit,2,11.99
2599,27-01-2015,sausage,9,14.75
2924,19-11-2015,rolls/buns,7,90.45
3818,29-03-2015,soda,1,75.60
2156,07-08-2015,sausage,7,27.99
3182,05-05-2015,soda,1,4.10
1276,28-08-2015,whole milk,7,62.10
2184,23-01-2015,soda,9,77.50
1198,31-01-2015,other vegetables,9,64.60
1858,25-01-2015,pastry,1,79.60
2899,09-11-2015,sausage,0,0.10
2057,13-11-2015,citrus fruit,9,1.20
2413,26-06-2015,bottled water,3,58.99
4819,20-09-2015,sausage,5,50.20
1419,07-04-2015,root vegetables,8,60.45
2706,03-10-2015,tropical fruit,6,67.20
1275,07-05-2015,root vegetables,7,83.99
1851,11-07-2015,other vegetables,9,38.99
1905,18-10-2015,soda,6,43.75
2538,27-07-2015,other vegetables,4,89.25
1561,25-07-2015,whole milk,0,44.75
1318,26-09-2015,pastry,2,55.25
1133,26-02-2015,sausage,5,82.10
4007,13-03-2015,tropical fruit,5,57.10
1372,25-04-2015,soda,0,33.45
1839,16-08-2015,pastry,4,41.99
3765,12-06-2015,whole milk,2,41.75
2108,01-10-2015,tropical fruit,0,73.50
2547,24-11-2015,soda,0,32.10
4720,12-02-2015,soda,6,1.20
1342,07-01-2015,tropical fruit,8,69.50
4952,26-08-2015,sausage,8,52.50
1218,20-08-2015,tropical fruit,1,81.20
2459,22-09-2015,whole milk,5,79.99
1827,01-07-2015,whole milk,6,95.20
4769,20-09-2015,sausage,3,98.25
1741,20-12-2015,sausage,1,77.10
4238,12-12-2015,tropical fruit,3,65.20
4051,28-01-2015,whole milk,9,15.50
4960,19-08-2015,bottled water,4,58.45
2444,17-06-2015,sausage,0,56.10
3328,16-08-2015,whole milk,6,67.99
2981,11-05-2015,whole milk,6,80.75
1620,22-03-2015,tropical fruit,8,81.75
3447,03-09-2015,root vegetables,6,33.20
1679,08-12-2015,whole milk,6,87.60
3605,05-04-2015,sausage,7,97.50
2375,03-09-2015,whole milk,9,16.10
3399,09-04-2015,sausage,5,100.45
3348,05-12-2015,sausage,0,5.20
1076,12-06-2015,sausage,7,38.10
2480,26-03-2015,tropical fruit,2,38.10
1532,20-06-2015,whole milk,7,80.10
1803,12-05-2015,rolls/buns,4,83.75
2604,20-09-2015,tropical fruit,2,97.75
1845,07-08-2015,other vegetables,4,90.45
2690,01-05-2015,root vegetables,8,81.45
2300,28-04-2015,sausage,3,94.50
4302,05-04-2015,other vegetables,9,50.45
1930,15-11-2015,tropical fruit,5,43.10
3952,30-10-2015,sausage,3,63.75
1430,04-09-2015,citrus fruit,9,18.25
3829,02-08-2015,citrus fruit,7,45.99
3086,04-04-2015,whole milk,7,77.75
4780,09-06-2015,citrus fruit,6,31.75
3520,02-01-2015,other vegetables,4,42.50
2566,31-01-2015,whole milk,6,6.20
2655,05-01-2015,sausage,8,28.75
3364,30-08-2015,yogurt,6,8.25
2370,14-01-2015,root vegetables,4,26.25
3599,11-06-2015,other vegetables,4,6.10
3738,01-04-2015,whole milk,6,54.99
1593,08-08-2015,sausage,1,53.99
2105,21-01-2015,bottled water,3,29.25
3139,21-04-2015,tropical fruit,0,5.10
1098,19-01-2015,rolls/buns,5,97.99
2694,19-06-2015,sausage,1,26.99
3705,07-09-2015,soda,9,26.75
1634,28-05-2015,rolls/buns,0,56.99
2030,04-09-2015,soda,5,68.60
4552,13-08-2015,other vegetables,5,41.25
3848,18-11-2015,tropical fruit,7,17.60
2162,19-06-2015,tropical fruit,4,87.45
4462,02-04-2015,bottled water,9,96.60
3971,17-06-2015,tropical fruit,4,36.75
1554,21-05-2015,tropical fruit,8,59.60
3337,10-06-2015,citrus fruit,4,0.99
2265,25-09-2015,whole milk,6,10.50
4999,24-01-2015,tropical fruit,8,74.99
3980,16-09-2015,rolls/buns,9,20.45
1116,29-01-2015,other vegetables,8,88.45
2663,21-10-2015,sausage,0,76.75
2164,24-11-2015,rolls/buns,2,40.75
3950,12-05-2015,yogurt,0,64.75
4804,27-12-2015,tropical fruit,7,85.50
4041,07-09-2015,rolls/buns,6,69.10
2171,03-09-2015,whole milk,0,32.60
3417,15-12-2015,pastry,1,16.99
1175,10-06-2015,whole milk,2,21.20
4946,17-02-2015,sausage,9,33.20
1110,15-11-2015,pastry,4,27.50
4700,04-03-2015,sausage,3,62.50
2565,29-04-2015,tropical fruit,8,22.99
2468,13-03-2015,whole milk,9,99.45
4836,13-11-2015,sausage,6,10.25
3504,22-09-2015,root vegetables,9,13.25
4039,27-12-2015,other vegetables,9,77.99
3519,13-12-2015,bottled water,6,14.10
2989,30-01-2015,whole milk,0,100.75
3737,05-05-2015,whole milk,8,27.25
3180,03-07-2015,sausage,1,0.20
2978,09-05-2015,sausage,4,40.60
4903,08-12-2015,sausage,5,11.99
2835,09-10-2015,citrus fruit,4,50.60
3783,22-06-2015,sausage,1,75.10
1486,14-12-2015,other vegetables,3,69.99
4589,08-10-2015,sausage,3,49.50
1132,19-02-2015,other vegetables,8,48.10
4681,11-09-2015,citrus fruit,7,80.60
3701,22-01-2015,other vegetables,9,65.60
3429,01-04-2015,other vegetables,3,72.99
1783,18-03-2015,tropical fruit,0,37.99
3399,19-07-2015,sausage,2,80.60
4766,03-01-2015,root vegetables,8,10.25
1396,22-07-2015,tropical fruit,3,56.75
4633,26-04-2015,tropical fruit,8,70.45
4695,05-01-2015,root vegetables,5,65.75
4753,08-11-2015,other vegetables,5,8.99
4996,24-11-2015,rolls/buns,6,26.60
4569,27-07-2015,sausage,6,80.75
2252,08-10-2015,whole milk,6,77.10
1634,09-02-2015,whole milk,0,81.20
2266,30-09-2015,other vegetables,3,59.25
3304,30-11-2015,root vegetables,4,43.20
3757,04-02-2015,other vegetables,4,22.20
3440,21-12-2015,citrus fruit,5,45.45
3682,05-03-2015,soda,3,41.10
2650,05-10-2015,soda,6,83.20
4137,07-03-2015,citrus fruit,9,33.20
3193,31-01-2015,other vegetables,6,16.10
1332,02-12-2015,root vegetables,3,59.10
4821,28-11-2015,tropical fruit,3,8.99
1837,09-07-2015,rolls/buns,1,2.20
3665,23-09-2015,citrus fruit,7,2.99
2659,08-05-2015,yogurt,7,75.75
1599,29-05-2015,tropical fruit,1,83.75
2933,06-04-2015,tropical fruit,6,0.10
3963,21-02-2015,other vegetables,9,20.60
1175,30-06-2015,bottled water,6,83.60
4449,30-03-2015,citrus fruit,1,15.10
1962,05-04-2015,other vegetables,4,99.20
1183,29-06-2015,root vegetables,6,84.50
4035,03-08-2015,sausage,6,65.25
1608,06-08-2015,whole milk,8,60.45
1016,30-09-2015,rolls/buns,0,49.10
1158,17-10-2015,rolls/buns,4,15.20
2443,20-06-2015,sausage,6,15.75
3547,28-11-2015,bottled water,9,88.25
1038,21-02-2015,sausage,9,45.75
3915,11-09-2015,whole milk,4,19.75
2719,19-04-2015,citrus fruit,2,22.99
1328,24-03-2015,sausage,7,20.75
3687,12-02-2015,whole milk,0,58.20
2352,05-05-2015,sausage,0,37.25
4816,31-07-2015,other vegetables,7,41.75
1120,11-06-2015,other vegetables,7,87.99
4120,17-01-2015,sausage,4,41.10
2884,28-12-2015,other vegetables,5,68.60
3135,13-03-2015,sausage,8,100.60
2565,28-09-2015,sausage,4,38.45
1197,16-01-2015,sausage,6,73.75
1971,16-08-2015,sausage,2,22.50
3298,26-05-2015,citrus fruit,0,64.20
1139,19-01-2015,tropical fruit,4,16.25
2463,26-12-2015,whole milk,0,35.25
2978,27-06-2015,whole milk,9,71.60
4525,07-10-2015,other vegetables,8,33.75
1213,14-09-2015,citrus fruit,0,44.99
3686,06-01-2015,whole milk,8,76.45
1545,28-02-2015,citrus fruit,0,21.20
1409,17-02-2015,whole milk,3,99.50
4820,18-01-2015,citrus fruit,5,24.45
3716,08-10-2015,sausage,9,71.60
3270,15-05-2015,whole milk,7,89.45
3410,16-01-2015,whole milk,4,46.45
3651,16-10-2015,rolls/buns,7,80.45
3507,27-08-2015,root vegetables,3,50.60
3184,20-11-2015,citrus fruit,0,68.60
2648,29-01-2015,citrus fruit,5,22.60
1566,24-02-2015,whole milk,3,99.99
3537,25-01-2015,citrus fruit,0,0.99
3794,04-01-2015,citrus fruit,7,26.99
3756,11-07-2015,sausage,6,28.99
4661,10-05-2015,other vegetables,7,80.75
1776,15-04-2015,bottled water,6,44.60
1364,31-07-2015,soda,7,64.25
3496,22-09-2015,rolls/buns,6,31.99
4436,23-12-2015,other vegetables,4,56.25
4707,11-02-2015,soda,2,28.99
3290,29-05-2015,sausage,5,85.20
1940,04-06-2015,whole milk,9,74.60
4686,08-10-2015,sausage,5,9.45
1230,06-04-2015,whole milk,8,37.60
2918,19-07-2015,sausage,7,59.45
4604,09-12-2015,other vegetables,5,50.99
3046,09-01-2015,sausage,3,1.10
4528,13-10-2015,whole milk,0,63.25
1132,22-09-2015,soda,0,7.20
3029,14-02-2015,other vegetables,8,47.25
2758,06-02-2015,other vegetables,3,28.99
3969,05-03-2015,root vegetables,2,37.50
4573,23-12-2015,sausage,6,78.50
4726,08-07-2015,other vegetables,8,14.60
2925,16-03-2015,other vegetables,1,37.99
3096,07-07-2015,root vegetables,5,54.45
4711,19-06-2015,pastry,6,76.75
3584,17-12-2015,other vegetables,1,56.25
1820,21-03-2015,pastry,2,33.25
3793,15-04-2015,citrus fruit,3,76.10
1845,11-02-2015,whole milk,0,10.60
1193,12-11-2015,citrus fruit,7,15.45
4267,06-09-2015,citrus fruit,9,81.10
1950,11-11-2015,other vegetables,5,55.60
3589,04-11-2015,whole milk,1,78.45
2128,10-08-2015,sausage,4,67.10
3866,21-04-2015,root vegetables,8,31.99
2011,22-12-2015,soda,6,99.10
4223,20-07-2015,root vegetables,4,26.25
2068,07-04-2015,sausage,3,99.10
3035,09-05-2015,pastry,6,80.25
2597,08-05-2015,sausage,7,19.75
1306,08-01-2015,yogurt,7,72.10
1003,10-02-2015,sausage,4,76.60
1961,21-06-2015,other vegetables,2,52.50
3061,10-02-2015,rolls/buns,6,55.50
3528,19-05-2015,sausage,9,1.20
1979,20-11-2015,yogurt,8,35.60
2432,12-12-2015,whole milk,1,81.60
4081,20-10-2015,whole milk,7,93.60
4588,30-06-2015,rolls/buns,0,72.50
1892,08-03-2015,other vegetables,5,52.25
1922,07-02-2015,sausage,3,20.10
1440,06-12-2015,sausage,7,40.10
2273,21-10-2015,tropical fruit,5,100.10
1380,21-11-2015,whole milk,4,57.45
4035,26-07-2015,yogurt,6,11.99
3162,06-06-2015,soda,2,42.50
3216,12-02-2015,whole milk,7,47.20
4783,27-01-2015,sausage,1,58.99
3318,12-01-2015,other vegetables,5,58.45
1676,11-10-2015,citrus fruit,4,94.10
1259,21-11-2015,sausage,6,69.45
3930,12-07-2015,citrus fruit,8,19.25
3995,26-06-2015,other vegetables,0,41.45
4794,06-09-2015,sausage,1,11.10
1161,14-03-2015,other vegetables,4,67.25
1866,13-02-2015,sausage,5,75.60
1269,12-09-2015,other vegetables,2,20.10
4721,15-06-2015,sausage,7,82.50
2885,22-03-2015,tropical fruit,6,47.60
1887,03-02-2015,tropical fruit,6,36.45
3545,28-08-2015,bottled water,8,47.20
2307,12-03-2015,whole milk,7,79.60
1428,18-01-2015,rolls/buns,7,15.50
4297,27-10-2015,whole milk,8,2.10
2217,02-12-2015,soda,9,18.50
4131,29-03-2015,sausage,2,79.25
2220,04-08-2015,sausage,0,91.99
3870,21-03-2015,root vegetables,0,32.25
1483,14-06-2015,root vegetables,2,82.10
1959,13-12-2015,whole milk,8,87.50
4645,06-12-2015,tropical fruit,5,31.10
3857,04-11-2015,other vegetables,1,62.99
3651,31-07-2015,root vegetables,9,25.10
2361,03-10-2015,soda,3,20.45
2756,31-07-2015,sausage,8,29.75
3688,24-09-2015,whole milk,1,88.99
4717,10-04-2015,tropical fruit,9,83.25
4152,29-05-2015,root vegetables,8,74.60
4507,18-06-2015,citrus fruit,1,6.75
4592,08-12-2015,citrus fruit,3,54.75
2627,31-10-2015,rolls/buns,2,81.50
4302,03-08-2015,tropical fruit,8,48.25
3635,26-02-2015,whole milk,3,71.45
3232,18-12-2015,yogurt,2,58.20
2214,19-01-2015,soda,7,55.45
1264,30-07-2015,sausage,9,80.10
3104,18-05-2015,bottled water,7,97.50
4966,25-01-2015,sausage,4,55.25
1656,07-07-2015,tropical fruit,1,78.45
2857,18-04-2015,whole milk,8,74.99
3692,18-10-2015,bottled water,5,70.20
2613,23-08-2015,other vegetables,2,87.75
3509,08-07-2015,soda,4,87.50
2578,01-12-2015,whole milk,9,65.50
4184,28-06-2015,pastry,8,35.50
3201,27-11-2015,tropical fruit,7,66.50
4294,08-01-2015,other vegetables,5,25.99
2283,18-01-2015,root vegetables,8,87.75
3621,02-11-2015,rolls/buns,2,83.20
1968,03-10-2015,pastry,6,9.50
3904,11-05-2015,sausage,4,11.75
2336,07-10-2015,other vegetables,6,26.50
3546,22-11-2015,whole milk,3,99.10
3797,23-08-2015,root vegetables,2,50.10
4695,13-10-2015,tropical fruit,7,44.10
4919,30-03-2015,citrus fruit,4,29.20
1289,08-11-2015,other vegetables,8,93.60
2415,29-04-2015,tropical fruit,4,19.20
1943,30-09-2015,tropical fruit,0,54.60
4107,05-02-2015,tropical fruit,4,92.75
1051,12-08-2015,other vegetables,2,92.50
2087,09-04-2015,tropical fruit,5,46.45
2727,15-12-2015,whole milk,9,64.10
2745,19-02-2015,other vegetables,3,72.75
3147,20-02-2015,citrus fruit,4,69.45
2677,07-12-2015,sausage,1,74.20
2321,08-04-2015,sausage,5,17.75
3401,28-09-2015,sausage,3,100.25
2486,25-11-2015,sausage,8,51.45
1730,19-09-2015,other vegetables,6,67.60
4724,12-02-2015,sausage,6,33.99
4951,09-01-2015,other vegetables,1,24.60
4519,02-09-2015,sausage,9,76.25
3916,04-10-2015,whole milk,9,74.10
2738,03-02-2015,whole milk,7,92.60
2968,17-10-2015,soda,3,46.20
4827,03-10-2015,root vegetables,0,83.25
3474,07-04-2015,tropical fruit,3,48.50
3061,05-11-2015,soda,2,94.75
2887,17-01-2015,tropical fruit,1,31.45
2267,07-01-2015,whole milk,2,21.99
1551,11-06-2015,tropical fruit,1,9.60
3421,12-05-2015,citrus fruit,9,25.50
4326,02-05-2015,tropical fruit,5,52.10
4969,26-05-2015,sausage,1,9.45
3463,24-09-2015,tropical fruit,0,3.25
2528,19-10-2015,tropical fruit,3,85.45
1959,15-05-2015,tropical fruit,1,34.25
2479,13-01-2015,whole milk,2,52.99
2781,11-01-2015,rolls/buns,6,98.60
1152,20-04-2015,soda,0,31.25
2114,06-11-2015,whole milk,9,9.99
2019,08-09-2015,sausage,0,71.99
3663,28-06-2015,whole milk,3,100.50
3170,03-12-2015,other vegetables,8,3.99
3507,22-07-2015,other vegetables,1,37.60
4151,02-11-2015,whole milk,7,14.60
1499,06-03-2015,rolls/buns,7,37.60
2274,05-01-2015,citrus fruit,4,68.99
2186,02-04-2015,sausage,6,47.50
4437,07-08-2015,pastry,0,76.50
4741,25-09-2015,other vegetables,3,98.25
4406,27-05-2015,tropical fruit,7,42.20
